objectid,parentid,filename,title,artist,medium_technique,date,classification,subject,nation of origin,description,size,source,object number,type,format,language,rights,rightsstatement
tmauu054,,,Ancestral Altar # 14,"Danh, Binh",chlorophyll,2005,Photographs,Cut foliage; Khmer (Southeast Asian people); Party of Democratic Kampuchea; Genocide,Viet Nam,"""large print with five figures""",42 x 32 in. (106.7 x 81.3 cm),"Permanent Collection, Taubman Museum of Art",2006.039,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu055,tmauu054,2006.039.jpg,Ancestral Altar # 14,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu056,tmauu054,2006.039_label.pdf,museum label for Ancestral Altar #14,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu057,,,greenwork (aerial wall),"Laing, Rosemary",digital images,1995,Paintings,Trees; Landscapes,Australia,,77 9/16 x 116 9/16 in. (197 x 296 cm),"Permanent Collection, Taubman Museum of Art",2007.007,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu058,tmauu057,2007.007.jpg,greenwork (aerial wall),,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu059,tmauu057,2007.007_label.pdf,museum label for greenwork (aerial wall),,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu060,,,Dancer,"Branch, Betty",marble (rock),1989,Sculptures,"Women; Dance; Anatomy, Artistic",United States,,,"Permanent Collection, Taubman Museum of Art",2008.104,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu061,tmauu060,2008.104_1.jpg,Dancer 1,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu062,tmauu060,2008.104_2.jpg,Dancer 2,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu063,tmauu060,2008.104_3.jpg,Dancer 3,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu064,tmauu060,2008.104_4.jpg,Dancer 4,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu065,tmauu060,2008.104_label.pdf,museum label for Dancer,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
